record_id,source_id,organization,domain,decision,local_actor,local_right,required_authority,authority_pattern,threshold_or_condition,redelegation,finality,source_locator,support_summary,verification_status
CIV-022,SRC-008,U.S. Equal Employment Opportunity Commission,civil enforcement litigation,settle a district-court EEOC suit under delegated authority,Regional Attorney,settle suits under the General Counsel's standing delegation,Regional Attorney when General Counsel has not retained settlement authority,bounded_delegation,General Counsel did not retain the case's settlement authority,not_stated,final,EEOC Settlement Procedures B.2,"Regional Attorneys receive settlement authority generally, but only where the General Counsel has not retained it.",verified_primary
CIV-023,SRC-008,U.S. Equal Employment Opportunity Commission,civil enforcement litigation,resolve a suit where settlement authority was retained,Regional Attorney,negotiate and develop a proposed settlement,General Counsel approval,proposal_decision_split,General Counsel retained settlement authority for the case,not_stated,final,EEOC Settlement Procedures B.2,A Regional Attorney cannot finalize a retained-authority case without General Counsel approval.,verified_primary
CIV-024,SRC-008,U.S. Equal Employment Opportunity Commission,civil enforcement litigation,settle a case while it is on appeal,Appellate staff and Regional Attorney,conduct settlement efforts and negotiations,General Counsel approval,proposal_decision_split,case is on appeal,not_stated,final,EEOC Settlement Procedures B.3,"Appellate personnel may negotiate, but all appellate-case settlements require General Counsel approval.",verified_primary
CIV-025,SRC-009,U.S. Securities and Exchange Commission,securities enforcement,file or institute an SEC enforcement action,Division of Enforcement staff,investigate and recommend an enforcement action through an action memorandum,Securities and Exchange Commission,proposal_decision_split,filing or institution of an enforcement action,conditional,final,SEC Enforcement Manual §2.5.2,"Enforcement staff develop the recommendation, while filing or instituting an action requires Commission authorization.",verified_primary
CIV-026,SRC-009,U.S. Securities and Exchange Commission,securities enforcement,approve most settlements of previously authorized enforcement actions,Division of Enforcement staff,negotiate and recommend settlement terms,Securities and Exchange Commission for most settlements,reserved_role,settlement falls within categories requiring Commission authorization,conditional,final,SEC Enforcement Manual §2.5.2,The Enforcement Manual states that most settlements of previously authorized actions still require Commission authorization.,verified_primary
CIV-027,SRC-010,U.S. Securities and Exchange Commission,securities enforcement,issue a formal order of investigation,Director of the Division of Enforcement,exercise other delegated enforcement authorities,Securities and Exchange Commission after the 2025 rule change,reserved_role,formal order of investigation after elimination of the Director's delegation,not_stated,final,SEC Release 33-11366; effective 2025-03-14,The 2025 final rule removed the Director's delegated authority to issue formal investigation orders.,verified_primary
CIV-028,SRC-011,U.S. Food and Drug Administration / HHS,regulatory policy,approve an FDA regulation presenting a highly significant public issue,FDA officials exercising delegated regulatory authority,develop and approve regulations within delegated FDA authority,Secretary of Health and Human Services,reserved_role,regulation presents a highly significant public issue within the reservation criteria,not_stated,final,"FDA SMG 1410.10, Limitations A",HHS reserves approval of specified high-significance FDA regulations even though regulatory authority is otherwise delegated.,verified_primary
CIV-029,SRC-011,U.S. Food and Drug Administration / HHS,regulatory policy,exercise FDA regulatory authority outside the Secretary's reserved categories,FDA Commissioner and valid FDA delegates,exercise authorities delegated from the HHS Secretary,FDA official holding the applicable delegated authority,bounded_delegation,decision falls outside authorities reserved by the HHS Secretary,conditional,mixed,FDA SMG 1410.10,The SMG documents broad delegated FDA authority while preserving specific categories for the Secretary.,verified_primary
CIV-030,SRC-012,U.S. Food and Drug Administration,food regulation,set National Laboratory Accreditation Program standards and approve accrediting bodies,specified CFSAN senior officials,perform the Commissioner's listed accreditation-program functions,"Director, Deputy Director, or Director of Regulations and Policy, CFSAN",bounded_delegation,functions covered by the named statutory accreditation provisions,not_allowed,final,FDA SMG 1410.304 §§1-3,The SMG delegates the named accreditation decisions to specified CFSAN officials and bars further redelegation.,verified_primary
CIV-031,SRC-012,U.S. Food and Drug Administration,food regulation,redelegate National Laboratory Accreditation Program decision authority,specified CFSAN senior officials,exercise the delegated accreditation authority,no further redelegation permitted,nonredelegable_grant,authority granted under SMG 1410.304,not_allowed,local,FDA SMG 1410.304 §3,The named officials may exercise the delegated functions but may not pass those authorities onward.,verified_primary
CIV-032,SRC-013,U.S. Food and Drug Administration,civilian human resources,"effect appointments, promotions, reassignments, and covered involuntary separations",listed FDA management officials,take the covered personnel actions delegated by the SMG,one of the listed FDA officials holding appointing authority,bounded_delegation,personnel action is within the delegation and not within a reserved exception,not_stated,final,FDA SMG 1431.8 §§1-2,FDA delegates a defined set of personnel actions to specified management officials.,verified_primary
CIV-033,SRC-013,U.S. Food and Drug Administration / HHS,civilian human resources,suspend or separate an employee on disloyalty or subversion grounds,FDA officials with ordinary appointing authority,take covered personnel actions under the FDA delegation,Secretary of Health and Human Services,reserved_role,suspension or separation is based on disloyalty or subversion grounds,not_stated,final,FDA SMG 1431.8 §3.B,The ordinary appointing delegation excludes this category because the Secretary retains the authority.,verified_primary
CIV-034,SRC-014,Internal Revenue Service,internal policy governance,approve and issue an IRM section or related management document without changed OUO content,SES official with program oversight,approve the covered management document,SES official with program oversight or a written supervisory-manager redelegate,bounded_delegation,document falls within Delegation Order 1-69 Authority 3,conditional,final,"IRM 1.11.4, Delegation Order 1-69, Authority 3",IRS gives this document-approval authority to an SES official and allows only specified written redelegation.,verified_primary
CIV-035,SRC-014,Internal Revenue Service,internal policy governance,"approve a new, revised, or rescinded Servicewide delegation order or policy statement",IRS program and business-unit officials,develop and route proposed delegation orders and policy statements,IRS Commissioner or responsible Deputy Commissioner,nonredelegable_grant,Servicewide delegation order or Servicewide policy statement,not_allowed,final,"IRM 1.11.4, Delegation Order 1-69, Authority 4",Servicewide delegation orders and policy statements require Commissioner or Deputy Commissioner approval and cannot be redelegated.,verified_primary
CIV-036,SRC-015,Internal Revenue Service,civilian human resources,approve an individual monetary award above 25000 dollars and up to 50000 dollars,IRS management,recommend and process employee awards,Chief Operating Officer + Department of the Treasury + OPM + President of the United States,joint_approval,individual award exceeds 25000 dollars and does not exceed 50000 dollars,not_allowed,final,"IRM 1.2.2.7.12, Delegation Order 6-22, Authority 1",The highest listed award band requires multiple institutional approvals culminating in presidential final approval.,verified_primary
CIV-037,SRC-015,Internal Revenue Service,civilian human resources,approve an individual award from 10001 through 25000 dollars or a qualifying large group award,IRS management,recommend and process awards,Chief Operating Officer,threshold_escalation,award falls within the published middle threshold band,not_allowed,final,"IRM 1.2.2.7.12, Delegation Order 6-22, Authority 2",IRS assigns the middle award band to the Chief Operating Officer and prohibits redelegation.,verified_primary
CIV-038,SRC-015,Internal Revenue Service,civilian human resources,approve a personnel action request and forward it for final approval,second-level manager,approve the PAR at the managerial stage and forward it,second-level manager for intermediate approval; HR execution/final processing remains separate,proposal_decision_split,personnel action requires the documented HR Connect workflow,not_allowed,intermediate,"IRM 1.2.2, Delegation Order 6-24, Authority 2-3",The IRS delegation separates managerial PAR approval from later HR execution of the personnel action.,verified_primary
CIV-039,SRC-015,Internal Revenue Service,civilian human resources,"approve, sign, or deny an IRS debarment request",IRS Human Capital Officer,decide IRS debarment requests within the delegated scope,IRS Human Capital Officer except matters for which OPM retains exclusive authority,bounded_delegation,OPM has not retained exclusive authority over the case,not_allowed,final,"IRM 1.2.2.7.15, Delegation Order 6-25",IRS delegates debarment decisions to its Human Capital Officer while preserving OPM-retained cases.,verified_primary
CIV-040,SRC-015,Internal Revenue Service,civilian human resources,settle a monetary resolution exceeding 100000 dollars in a covered personnel appeal,lower-level deciding official or business-unit executive,settle lower-value covered personnel resolutions within delegated limits,"Assistant Deputy Commissioner, Division Commissioner, Chief, National Taxpayer Advocate, or Director RAAS, subject to the listed redelegation",threshold_escalation,covered monetary resolution exceeds 100000 dollars,conditional,final,"IRM 1.2.2, personnel grievance/appeal settlement authority 7",IRS escalates settlement authority as the monetary value crosses published bands.,verified_primary
CIV-041,SRC-016,Social Security Administration,benefits adjudication,issue a hearing decision on a Social Security claim,administrative law judge,issue a written hearing decision based on the evidentiary record,"administrative law judge, subject to Appeals Council review mechanisms",bounded_delegation,claim is at the ALJ hearing stage,not_stated,final,20 CFR 404.953,"An ALJ ordinarily issues the hearing decision, which becomes binding unless a specified review or revision mechanism applies.",verified_primary
CIV-042,SRC-016,Social Security Administration,benefits adjudication,send a recommended decision rather than issue the final ALJ decision,administrative law judge,develop a recommended disposition based on the record,Appeals Council for the subsequent decision path,proposal_decision_split,the ALJ uses the recommended-decision procedure,not_stated,intermediate,20 CFR 404.953(c),SSA rules permit an ALJ to send a recommended decision to the Appeals Council instead of making the ordinary final hearing decision.,verified_primary
CIV-043,SRC-017,Social Security Administration,benefits adjudication,reopen and revise an ALJ decision when Appeals Council jurisdiction exists,administrative law judge,issue the underlying ALJ decision,Appeals Council under the stated jurisdictional conditions,review_override,"Appeals Council has jurisdiction under a request for review, own motion, subsequent application, or other valid basis",not_stated,review,HALLEX I-3-9-5,The Appeals Council has authority to reopen and revise ALJ decisions when the listed jurisdictional conditions are met.,verified_primary
CIV-044,SRC-018,U.S. Department of the Treasury — Bureau of the Fiscal Service,federal payment operations,certify a federal payment request before Treasury disbursement,certifying officer,"certify that a payment is legal, proper, and correct for the designated agency scope",designated certifying officer,multi_role_chain,payment must be certified before being sent for Treasury disbursement,not_stated,intermediate,Fiscal Service Certifying Officer Training — certification process,"Federal payment processing separates payment certification from Treasury disbursement, with a designated certifying role preceding disbursement.",verified_primary
CIV-045,SRC-018,U.S. Department of the Treasury — Bureau of the Fiscal Service,federal payment operations,disburse a certified federal payment,Treasury disbursing function,disburse payments after the agency certification process,Treasury disbursing authority following valid certification,multi_role_chain,valid agency certification precedes disbursement,not_stated,final,Fiscal Service Certifying Officer Training — payment certification and disbursement roles,The public training materials distinguish the certifying role from the Treasury function that actually disburses the payment.,verified_primary
